Year,MO,DY,T,H,P,
1981,1,1,10.96,3.91,0.39,
1981,1,2,9.46,4.64,2.02,
1981,1,3,10.45,6.84,4.49,
1981,1,4,10.2,6.1,0.07,
1981,1,5,9.45,4.76,0.12,
1981,1,6,8.74,3.85,0.09,
1981,1,7,9.46,3.97,0.05,
1981,1,8,8.44,4.03,0.96,
1981,1,9,9.43,4.15,0.05,
1981,1,10,9.26,3.91,0.06,
1981,1,11,10.82,4.15,0.06,
1981,1,12,11.73,5,0.06,
1981,1,13,12.82,4.88,0,
1981,1,14,11.36,5.25,0,
1981,1,15,12.09,5.92,0.82,
1981,1,16,10.94,7.02,9.22,
1981,1,17,10.2,6.1,1.01,
1981,1,18,11.59,5.68,0,
1981,1,19,12.19,6.53,8.63,
1981,1,20,13.21,6.71,3.18,
1981,1,21,13.95,7.45,2.74,
1981,1,22,11.7,7.69,40.89,
1981,1,23,8.68,6.59,15.07,
1981,1,24,7.66,4.88,1.52,
1981,1,25,6.15,3.97,0.01,
1981,1,26,4.97,4.88,31.15,
1981,1,27,8.08,6.53,47.05,
1981,1,28,8.77,6.23,29.4,
1981,1,29,5.77,5.19,6.67,
1981,1,30,5.18,3.91,0.01,
1981,1,31,4.01,3.54,0,
1981,2,1,5.87,4.27,0.02,
1981,2,2,8.35,4.82,0.02,
1981,2,3,8.15,4.03,0,
1981,2,4,8.11,4.27,0.01,
1981,2,5,7.89,5.31,0.19,
1981,2,6,7.66,4.39,0,
1981,2,7,7.87,4.27,0.01,
1981,2,8,9.58,5.13,0.49,
1981,2,9,9.58,6.29,0.27,
1981,2,10,8.48,6.23,0.77,
1981,2,11,10.08,6.47,4.47,
1981,2,12,11.05,5.98,3.23,
1981,2,13,10.88,7.26,20.07,
1981,2,14,12.85,6.84,6.38,
1981,2,15,13.78,5.74,1.23,
1981,2,16,14.86,8.06,8.19,
1981,2,17,12.05,6.71,0.22,
1981,2,18,15.43,7.75,0.35,
1981,2,19,12.14,7.45,1.95,
1981,2,20,8.76,4.58,0,
1981,2,21,11.44,5.37,0,
1981,2,22,11.55,5.55,0.02,
1981,2,23,11.01,6.16,4.18,
1981,2,24,7.26,5.74,9.11,
1981,2,25,6.19,5.31,2.49,
1981,2,26,6.15,5.25,3.34,
1981,2,27,8.49,4.52,0.11,
1981,2,28,8.16,5.43,2.31,
1981,3,1,11.24,6.47,0.4,
1981,3,2,11.27,5.92,0.01,
1981,3,3,11.69,6.23,2.2,
1981,3,4,8.03,6.16,24.43,
1981,3,5,9.51,5.92,0.55,
1981,3,6,10.17,5.86,0.11,
1981,3,7,10.37,6.29,0.02,
1981,3,8,12.38,5.92,0,
1981,3,9,14.97,6.53,0,
1981,3,10,13.25,7.14,0,
1981,3,11,12.72,6.29,0,
1981,3,12,12.19,6.77,0.71,
1981,3,13,9.72,5.92,0.54,
1981,3,14,9.13,5.98,6.01,
1981,3,15,7.97,5.98,18.52,
1981,3,16,8.39,4.82,0.23,
1981,3,17,9.63,4.64,0,
1981,3,18,10.3,6.04,13.91,
1981,3,19,9.23,6.84,20.5,
1981,3,20,8.05,5.92,13.13,
1981,3,21,8.29,6.53,9.03,
1981,3,22,10.58,6.35,2.25,
1981,3,23,12.97,5.92,0.01,
1981,3,24,13.4,7.14,1.39,
1981,3,25,12.24,7.69,33.43,
1981,3,26,9.54,5.62,0.77,
1981,3,27,11.1,5.86,0.12,
1981,3,28,13.18,6.77,0,
1981,3,29,11.27,6.29,2.08,
1981,3,30,9.87,4.7,0.13,
1981,3,31,10.98,5.86,1.1,
1981,4,1,9.87,5.31,2.81,
1981,4,2,9.58,5,0.04,
1981,4,3,10.23,5.07,0,
1981,4,4,13.2,5.92,0,
1981,4,5,15.17,7.02,0,
1981,4,6,13.45,7.08,0,
1981,4,7,12.9,5.49,0,
1981,4,8,12.82,6.16,0,
1981,4,9,13.14,6.1,0,
1981,4,10,11.64,5.31,0.02,
1981,4,11,10.43,5.37,0,
1981,4,12,12.01,5.55,0,
1981,4,13,15.31,6.47,0,
