YEAR,T2M,QV2M,RH2M,PRECTOTCORR
1990,6.38,4.15,65.19,5.54
1990,3.58,4.76,89.56,3.63
1990,3.05,2.62,57.06,0
1990,4.61,2.5,47.69,0.02
1990,6.75,2.99,49.94,0
1990,7.65,2.99,45.25,0
1990,7.7,4.52,65.75,0
1990,8.01,5.68,80.94,0
1990,13.55,4.15,46.5,0
1990,14.59,3.97,37.38,0
1990,14.46,3.97,38.44,0.01
1990,10.44,5.98,70.94,6.48
1990,9.48,6.41,82.44,6.34
1990,6.71,5.55,85.81,2.16
1990,6.75,5.74,88.19,2.25
1990,4.69,5.25,91.69,5.37
1990,1.8,4.15,89.69,0.69
1990,3.3,3.54,72.31,0.01
1990,4.44,3.11,59.44,0.02
1990,5.33,2.56,47.88,0
1990,5.73,2.32,44.06,0
1990,7.52,2.69,41.44,0
1990,7.85,3.05,46.12,0
1990,8.93,2.5,37.38,0
1990,11.16,2.32,28.06,0.02
1990,6.5,2.93,48.94,0
1990,5.94,2.99,56.81,0
1990,7.55,2.5,39.81,0
1990,5.65,3.54,59.81,0
1990,4.55,4.82,83.38,3.11
1990,3.89,4.46,83.75,1.34
1990,2.92,4.27,86.31,0.25
1990,5.32,3.85,68.81,0.01
1990,6.8,2.75,45.62,0.48
1990,2.69,4.46,89.88,9.61
1990,2.83,2.93,64.81,0
1990,3.18,4.03,77.81,3.42
1990,2.44,3.11,66.81,0.09
1990,1.87,2.32,53.88,0
1990,5.86,3.54,61.81,0.01
1990,8.95,3.85,56.12,0.01
1990,13.37,4.21,44.88,0
1990,9.75,5.07,64.75,0
1990,1.99,3.11,68,0.06
1990,-1.75,2.14,64.62,0.03
1990,-0.82,1.59,45.81,0.13
1990,3.3,3.66,69.69,5.96
1990,5.19,4.94,85.44,7.45
1990,1.87,3.97,85.06,2.34
1990,1.48,2.81,67.62,0
1990,7.06,2.87,45.94,0
1990,10.41,3.42,46.31,0
1990,12.73,4.03,46.5,0
1990,14.68,4.33,43,0
1990,15.5,4.52,41.31,0
1990,15.59,4.82,43.31,0
1990,14.01,5.13,52.62,0
1990,13.51,5.37,57.56,0
1990,14.3,4.94,50.81,0.03
1990,13.98,5,50.88,0.08
1990,9.38,5.98,77.25,0.96
