Year,T,H,P
1981,16.01,3.85,0
1981,17.02,4.64,0
1981,16.3,4.33,0
1981,14.96,4.76,0
1981,14.34,3.42,0
1981,12.23,2.87,0
1981,12.84,2.75,0
1981,12.84,2.62,0
1981,12.08,2.2,0.14
1981,13.52,3.11,0
1981,12.01,5.86,9.99
1981,12.83,7.57,4.13
1981,13.95,6.29,0
1981,14.05,5.31,0
1981,14.15,4.82,0
1981,13.83,5.37,0
1981,13.63,5.37,0
1981,11.76,3.85,0
1981,13.17,4.82,0
1981,14.36,4.15,0
1981,14.18,3.91,0.01
1981,13.07,3.54,0
1981,13.26,4.7,0
1981,11.51,3.72,0
1981,10.58,3.11,0
1981,10.3,2.62,0
1981,10.62,3.17,0.85
1981,10.18,5.55,1.14
1981,9.95,5.86,0.91
1981,8.74,4.09,0.23
1981,5.69,2.75,0
1981,8.19,2.56,0
1981,8.76,2.62,0
1981,9.11,2.44,0
1981,9.65,2.26,0
1981,10.68,2.2,0
1981,10.73,2.69,0
1981,12.37,2.75,0.13
1981,10.26,4.21,8.47
1981,11.8,5.98,1.04
1981,12.77,5.19,0.01
1981,12.8,4.46,0
1981,13.94,4.76,0
1981,13.13,3.6,0
1981,15.31,4.15,0
1981,16.83,4.7,0
1981,17.85,3.72,0
1981,18.37,4.52,0
1981,19.35,4.7,0
1981,19.73,4.21,0
1981,17.7,3.36,0
1981,12.87,2.08,0
1981,14.36,2.62,0
1981,15.92,2.93,0
1981,13.73,4.7,0.25
1981,11.51,4.94,0.4
1981,11.45,3.97,1.77
1981,11.73,2.62,0
1981,12.45,4.64,8.31
1981,12.32,7.02,9.27
1981,11.73,5.98,0.72
1981,12.69,5.62,0.65
1981,12.4,5.92,0.68
1981,9.96,5.68,11.23
1981,10.58,5.13,0.04
1981,12.69,5.19,0
1981,13.78,4.52,0
1981,14.9,3.91,0
1981,16.7,3.48,0
1981,15.91,3.66,0
1981,16,4.21,0.03
1981,11.77,4.52,0.12
1981,12.44,4.09,0.01
1981,14.8,3.6,0
1981,17.26,4.46,0
1981,15.59,3.42,0
1981,16.4,3.6,0
1981,16.08,4.21,0.53
1981,13.26,5.25,1.86
1981,14.37,5.31,0
1981,17.1,5.49,0
1981,18.32,5.55,0
1981,19.72,4.46,0
1981,19.84,5,0.08
1981,13.14,5.31,1.51
1981,12.27,4.27,0.07
1981,14.57,5.07,0
1981,15.25,5.49,0
1981,16.01,4.64,0
1981,16.75,3.05,0
1981,17.81,4.58,0.05
1981,11.69,5,0.84
1981,14.31,4.39,0.01
1981,15.73,3.3,0
1981,18.23,2.99,0
1981,19.86,3.78,0
1981,16.98,4.27,0
1981,16.99,5,0
1981,19.58,4.88,0
1981,20.04,5.25,0
1981,19.53,5.25,0
1981,19.7,4.27,0
1981,21.08,3.85,0
1981,22.54,4.27,0
1981,22.56,4.88,0
1981,23.85,4.7,0
1981,23.62,4.94,0
1981,18.19,5.43,0.59
1981,15.08,5.31,0.2
1981,16.98,4.82,0.02
1981,21.75,4.21,0
1981,23.81,4.64,0
1981,24.2,4.39,0
1981,23.34,5.07,0
1981,23.11,4.58,0
1981,20.73,5.49,0
1981,21.98,4.21,0
1981,25.66,4.58,0
1981,27.26,5.13,0
1981,25.56,7.51,0
1981,23.58,7.2,0
1981,24.71,6.77,0
1981,21.38,4.52,0
1981,21.21,4.33,0
1981,20.98,4.39,0
1981,21.18,3.6,0
1981,22.41,2.5,0
1981,23.62,2.87,0
1981,25.94,3.11,0
1981,26.7,3.91,0
1981,26.14,4.46,0
1981,23.81,4.82,0
1981,24.37,5.37,0
1981,23,5.37,0
1981,19.44,5.8,0.05
1981,19.31,4.64,0.05
1981,21.52,3.05,0.01
1981,23.8,4.15,0
1981,19.41,5.55,0.34
1981,17.7,4.64,0.18
1981,19.94,4.52,0
1981,22.23,3.85,0
1981,25.01,4.76,0.01
1981,26.94,5.25,0
1981,26.7,5.98,0.06
1981,24.94,8.12,3.72
1981,22.78,8.79,1.88
1981,24.76,8.3,0.04
1981,27.43,7.57,0
1981,28.37,6.77,0.25
1981,28.35,5.62,0
1981,29.35,5.43,0
1981,27.55,5.13,0
1981,27.75,5.13,0
1981,31.19,4.94,0
1981,32.26,5.31,0
1981,31.85,5.92,0
1981,31.71,5.8,0
1981,31.23,5.92,0
1981,31.51,6.71,0
1981,31.19,5.68,0
1981,30.09,5.8,0
1981,27.98,5.13,0
1981,27.5,2.99,0
1981,27.11,2.62,0
1981,27.15,2.38,0
1981,30.83,2.32,0
1981,33.05,3.3,0
1981,32.93,3.23,0
1981,32.95,3.91,0
1981,34.82,4.94,0
1981,34.83,5.92,0
1981,34.68,5.92,0
1981,35.48,6.59,0
1981,35.02,5.98,0
1981,36.23,5.43,0
1981,36.03,5.19,0.07
1981,34.68,5.62,0.01
1981,33.17,5.19,0
1981,33.05,4.58,0
1981,32.87,3.91,0
1981,30.76,3.97,0
1981,30.72,3.97,0
1981,34.24,4.52,0
1981,36.14,5,0
1981,35.96,7.26,0
1981,35.03,8.36,0
1981,33.73,8.06,0
1981,33.48,8.61,0
1981,34.29,7.75,0
1981,33.68,7.26,0
1981,31,11.6,0
1981,30.33,13.55,0
1981,33.43,9.28,0.19
1981,32.2,8,0.07
1981,28.82,10.07,0.56
1981,32.27,8.79,0.01
1981,32.65,6.53,0
1981,33.53,5.98,0
1981,34.11,6.29,0
1981,34.73,6.71,0
1981,35.74,6.71,0
1981,34.07,4.82,0
1981,33.57,4.7,0
1981,34.25,5.37,0
1981,32.67,4.33,0
1981,31.28,4.33,0
1981,32.16,4.52,0
1981,33.31,5.49,0
1981,33.08,4.58,0
1981,31.38,4.46,0
1981,31.68,4.39,0
1981,32.03,4.27,0
1981,31.48,3.97,0
1981,29.61,3.66,0
1981,29.49,4.03,0
1981,31.67,4.7,0
1981,32.64,8.48,0
1981,33.94,7.32,0
1981,32.72,11.11,0
1981,34.35,12.82,0
1981,34.26,9.46,0.02
1981,32.37,8.12,0.12
1981,32.51,8.79,2.12
1981,31.36,9.64,2.13
1981,31.41,11.66,4.06
1981,32.37,9.83,0.08
1981,32.29,8.12,0.13
1981,32.71,8.3,0.22
1981,32.42,8.67,0.01
1981,33.08,7.51,0.01
1981,34.68,7.57,0.05
1981,35.04,6.77,0.02
1981,34.18,6.16,0
1981,33.63,6.9,0
1981,34.82,8.06,0
1981,35.63,9.16,0.69
1981,36.76,8.73,0.47
1981,37.19,7.69,0
1981,37.12,8.85,0
1981,36.39,8,0
1981,34.39,6.1,0
1981,32.49,5.62,0
1981,32.19,7.45,0
1981,32.38,7.08,0
1981,31.77,7.02,0
1981,31.65,10.13,2.19
1981,31.48,10.93,0.88
1981,29.46,9.34,2.07
1981,29.67,12.15,0.87
1981,30.85,9.58,0
1981,30.67,7.08,0.02
1981,29.51,5.68,0
1981,29.83,6.04,0
1981,30.34,4.82,0
1981,30.43,6.41,0
1981,30.28,5.74,0.02
1981,31.65,6.1,0
1981,31.53,7.75,0
1981,31.87,6.96,0.01
1981,31.92,7.81,0
1981,31.65,9.22,0
1981,30.42,7.2,0
1981,28.94,5.49,0
1981,29.14,6.04,0
1981,28.02,7.51,0
1981,26.33,4.94,0
1981,25.44,5.62,0
1981,26.23,4.82,0
1981,27.05,4.46,0
1981,26.9,4.88,0
1981,24.36,5.8,0.03
1981,23.36,7.08,0.27
1981,23.79,9.09,1.23
1981,21.4,7.75,0.63
1981,21.08,6.84,0.02
1981,20.06,7.02,0.06
1981,21.26,5.43,0
1981,24.98,5.43,0
1981,25.78,5.07,0
1981,22.32,5.49,0
1981,22.23,4.52,0
1981,21.27,5.37,0.01
1981,17.1,6.65,0.32
1981,15.64,4.58,0
1981,14.41,3.78,0
1981,15.53,3.42,0
1981,16.02,3.3,0.08
1981,16.74,3.17,0
1981,18.03,3.36,0
1981,20.35,3.6,0
1981,21.38,3.91,0
1981,22.04,3.48,0
1981,21.76,3.42,0
1981,21.61,3.11,0
1981,22.3,2.69,0
1981,21.02,2.62,0
1981,20.23,3.54,0
1981,20.01,3.48,0.01
1981,18.44,4.64,0.06
1981,19.6,6.1,0.27
1981,15.42,5.43,0.15
1981,14.87,2.38,0
1981,14.95,2.26,0
1981,17.3,2.56,0
1981,19.44,3.6,0
1981,20.04,3.54,0
1981,20.07,3.17,0
1981,20.51,3.72,0
1981,18.15,4.58,0
1981,16.62,4.94,0
1981,19.9,4.27,0
1981,19.29,4.09,0
