Year,T,H,P
1981,15.88,4.64,0.01
1981,16.37,5.37,0
1981,15.48,5.86,0
1981,12.79,5.07,0.07
1981,14.37,3.85,0.01
1981,12.9,2.99,0
1981,12.99,3.85,0
1981,11.7,4.52,0.12
1981,13,2.93,0
1981,14.87,3.11,0.08
1981,12.8,5.98,5.92
1981,13.13,6.84,0.58
1981,14.12,6.71,0
1981,14.3,6.65,0.01
1981,13.76,6.65,0
1981,13.17,6.96,0
1981,13.33,5.8,0
1981,14.82,5.43,0
1981,13.63,5.49,0.01
1981,13.25,5.07,0
1981,15.05,5.07,0.11
1981,13.83,4.94,0.29
1981,11.78,6.9,4.81
1981,9.69,4.52,0.02
1981,10.09,3.54,0
1981,10.15,3.54,0.12
1981,10.03,5.55,13.59
1981,9.98,6.59,28.59
1981,9.42,6.71,9.71
1981,6.66,4.46,0.22
1981,6.62,3.36,0
1981,9.28,3.3,0.01
1981,10.75,3.05,0.04
1981,10.34,3.11,0.02
1981,10.44,3.17,0
1981,11.18,3.54,0
1981,10.48,4.21,0
1981,11.44,4.21,2.12
1981,10.67,5.98,18.33
1981,12.46,7.63,1.07
1981,11.72,6.16,0.01
1981,12.14,7.32,0.03
1981,13.88,6.04,0
1981,15.62,4.52,0
1981,15.41,6.1,0
1981,16.73,5.07,0
1981,18.01,5,0.02
1981,18.52,6.84,0
1981,19.62,5.62,0
1981,18.65,5.49,0
1981,15.04,4.15,0.03
1981,13.8,2.75,0
1981,15.58,3.6,0
1981,14.68,4.33,0
1981,11.02,6.1,0.49
1981,8.62,5.37,9.1
1981,9.15,4.33,1.93
1981,10.55,3.66,0.49
1981,9.99,6.71,26.53
1981,10.56,7.39,25.39
1981,9.74,6.41,3.57
1981,11.05,6.04,1.51
1981,9.94,6.71,13.16
1981,8.22,6.23,9.05
1981,9.94,5.98,0.18
1981,11.15,6.59,0.03
1981,12.92,5.68,0
1981,14.55,4.82,0
1981,14.98,5.49,0
1981,14.38,5.25,0.01
1981,12.65,5.55,0.06
1981,10.17,5.49,0.23
1981,10.28,5.31,0
1981,12.4,5.55,0
1981,13.9,5.86,0.02
1981,13.59,4.58,0
1981,12.79,5.68,0.75
1981,12.26,7.08,20.3
1981,10.62,5.98,0.48
1981,10.86,6.96,0.14
1981,14.04,7.69,0.08
1981,14.69,6.35,0
1981,16.15,5.92,0
1981,15.66,6.96,0.38
1981,10.15,5.49,1.37
1981,10.51,5.37,0.03
1981,12.06,5.92,0
1981,13.08,6.77,0.02
1981,13.19,5.31,0.01
1981,14.19,4.52,0.04
1981,11.73,5.49,0.14
1981,10.78,5.62,2.49
1981,11.33,5.19,0.01
1981,15.05,4.46,0.02
1981,17.72,4.21,0
1981,16.19,5.55,0
1981,12.11,6.65,0
1981,13.71,6.35,0
1981,14.55,6.35,0.01
1981,14.06,6.9,0.01
1981,14.55,5.8,0
1981,14.61,4.7,0
1981,15.23,4.94,0
1981,15.93,5.55,0
1981,16.38,5.98,0
1981,17.76,5.62,0.1
1981,16,6.1,0.14
1981,11.38,6.84,8.56
1981,10.9,6.41,1.57
1981,13.83,5.86,0.22
1981,17.65,6.1,0
1981,20.54,6.53,0
1981,19.41,7.08,0
1981,16.23,6.9,0
1981,16.15,7.2,0
1981,14.38,7.08,0.16
1981,16.81,5.37,0
1981,22.49,5.19,0.03
1981,23.19,5.98,0
1981,19.98,8.06,0
1981,18.26,8.54,0
1981,17.61,7.75,0
1981,15.38,5.62,0
1981,16.07,6.16,0
1981,15.46,5.8,0
1981,16.77,4.39,0
1981,17.4,4.52,0
1981,19.09,5.55,0
1981,22.18,5.62,0
1981,21.45,6.71,0
1981,19.04,7.08,0
1981,15.33,7.51,0
1981,16.28,7.45,0
1981,15.98,7.51,0.08
1981,16.04,6.35,0.12
1981,15.47,5.25,0.08
1981,17.89,5,0
1981,17.44,6.29,0.02
1981,14.21,6.96,0.46
1981,14.52,6.04,0.04
1981,15.76,6.16,0
1981,17.63,6.96,0
1981,19.71,7.26,0
1981,21.02,8.48,0
1981,19.12,9.09,0.15
1981,18.51,9.46,0.44
1981,18.18,8.79,0.99
1981,19.4,8.73,0
1981,20.06,7.93,0
1981,20.79,7.69,0
1981,20.69,7.69,0
1981,20.33,6.59,0.01
1981,18.51,7.2,0.04
1981,22.59,7.02,0
1981,27.48,6.59,0
1981,25.73,7.51,0
1981,22.57,8.67,0
1981,23.22,7.2,0
1981,24.08,8.73,0
1981,25.44,7.63,0
1981,24.26,6.47,0
1981,22.9,6.65,0
1981,21.87,5.62,0
1981,22.59,3.48,0
1981,23.73,3.3,0.03
1981,26.01,3.23,0
1981,27.93,3.78,0
1981,28.34,4.64,0.03
1981,26.38,5.62,0
1981,26.18,5.62,0
1981,26.08,6.71,0
1981,25.15,7.87,0
1981,24.8,8.3,0
1981,26.05,8,0
1981,26.42,7.26,0
1981,26.6,6.47,0.02
1981,27,6.35,0
1981,24.08,7.32,0
1981,22.86,7.08,0
1981,24.03,5.68,0
1981,23.93,6.04,0
1981,21.76,6.84,0
1981,23.57,5.49,0
1981,27.65,5.62,0
1981,27.96,6.77,0
1981,26.6,7.93,0
1981,24.44,9.09,0
1981,24.68,8.91,0
1981,23.94,8.97,0
1981,24.73,7.63,0
1981,23.84,7.69,0
1981,24.32,6.9,0
1981,24.61,6.96,0
1981,24.98,6.59,0
1981,26.86,6.47,0.01
1981,26.85,7.39,0.02
1981,24.14,8.24,0
1981,23.4,8.18,0
1981,25.07,6.9,0
1981,25.97,5.98,0
1981,26.21,5.25,0
1981,24.87,6.84,0
1981,23.92,8.24,0
1981,24.24,7.51,0
1981,24.5,7.32,0
1981,22.8,7.87,0
1981,22.19,6.9,0
1981,23.05,6.41,0
1981,22.97,7.45,0
1981,22.86,7.69,0
1981,21.9,6.47,0
1981,21.88,6.16,0
1981,23.06,6.59,0
1981,22.98,6.53,0
1981,22.27,7.26,0
1981,22.26,7.51,0
1981,24.89,6.1,0.06
1981,26.28,6.23,0.1
1981,24.13,7.93,0
1981,24.87,8.54,0
1981,25.01,7.81,0
1981,24.05,8,0
1981,22.84,8.36,0
1981,23.17,8.79,0.03
1981,23.11,8.61,0.02
1981,25.17,9.16,0.09
1981,25.94,8.24,0.02
1981,25.23,8.79,0
1981,24.5,8.54,0.01
1981,22.59,8.91,0
1981,23.03,7.75,0
1981,25.75,5.98,0
1981,26.62,4.82,0
1981,24.5,6.35,0
1981,23.77,6.41,0
1981,26.6,6.71,0
1981,29.67,7.81,0.01
1981,31.01,7.69,0
1981,30.37,7.39,0.02
1981,29.72,7.08,0
1981,28.37,6.77,0
1981,25.26,6.35,0
1981,23.15,7.2,0
1981,23.39,6.53,0.04
1981,21.98,6.77,0
1981,21.72,6.35,0
1981,22.98,7.63,0
1981,21.83,8.61,0.02
1981,21.83,8.06,0.1
1981,23.59,8.97,0.19
1981,25.69,7.69,0
1981,24.65,7.39,0
1981,22.76,8.06,0
1981,22.95,7.02,0
1981,24.55,6.35,0.04
1981,24.75,7.26,0
1981,24.04,7.51,0
1981,24.65,7.87,0
1981,26.26,7.75,0
1981,28.01,6.9,0.03
1981,28.13,6.41,0.02
1981,25.9,7.39,0
1981,23.18,8.48,0
1981,22.58,7.45,0
1981,22.81,5.25,0
1981,19.88,6.41,0
1981,18.44,6.41,0
1981,19.55,6.96,0
1981,20.48,6.71,0
1981,21.76,6.47,0
1981,21.14,7.69,0
1981,17.62,8.97,0.05
1981,20.35,7.93,6.86
1981,19.05,9.34,0.79
1981,17.13,9.16,0.2
1981,15.87,8.42,0.02
1981,16.11,7.63,0.01
1981,17.43,5.8,0.04
1981,21.12,5.98,0
1981,18.77,8.06,0.04
1981,17.92,6.47,0
1981,17.29,6.53,0
1981,15.46,7.75,0.6
1981,14.7,6.84,0.8
1981,12.65,5.31,0.01
1981,12.8,5.68,0.12
1981,13.52,5.55,0
1981,14.07,4.39,0
1981,14.96,4.33,0
1981,18.06,3.97,0
1981,20.57,4.27,0
1981,21.55,4.09,0
1981,20.86,4.46,0
1981,19.51,4.82,0
1981,20.19,4.15,0
1981,20.73,3.85,0
1981,18.26,4.58,0
1981,17.74,5.55,0
1981,15.27,6.47,0.01
1981,13.58,6.96,1.3
1981,13.95,8.18,1.57
1981,12.97,5.8,0.02
1981,14.41,3.36,0
1981,16.55,2.99,0.07
1981,18.94,3.6,0
1981,19.96,4.39,0
1981,19.12,4.94,0
1981,17.29,5.37,0
1981,16.75,5.98,0.02
1981,14.08,7.26,0
1981,15.54,6.71,0
1981,18.51,5,0
1981,18.83,4.7,0
1981,17.44,4.88,0
1981,17.99,4.64,0
1981,16.47,5.74,0
1981,14.45,7.57,0.07
1981,14.98,9.83,0.35
1981,16.71,9.22,0
1981,16.61,6.84,0.02
1981,15.6,7.69,0.02
1981,15.65,3.36,0
1981,15.64,2.93,0
1981,15.97,3.3,0.03
1981,15.57,4.76,0
1981,15.66,5.37,0
1981,16.19,5.92,0
